id_venda,id_cliente,id_produto,data_venda,quantidade,valor_total,preco_usd,taxa_cambio,custo_unitario_brl,custo_total_brl,prejuizo
1230,17,91,2023-01-01,4,512566.8,26303.31,5.3436,140554.36731600002,562217.4692640001,49650.669264000084
2300,30,95,2023-01-01,9,596858.4,12945.63,5.3436,69176.268468,622586.416212,25728.01621199993
3131,28,130,2023-01-01,13,53873.0,749.89,5.3436,4007.112204,52092.458652,0.0
4212,9,96,2023-01-01,6,402538.75,13063.42,5.3436,69805.691112,418834.146672,16295.396672000003
4294,7,44,2023-01-01,5,51332.3,1963.02,5.3436,10489.593672,52447.968360000006,1115.6683600000033
4997,23,133,2023-01-01,1,1893.0,348.47,5.3436,1862.0842920000002,1862.0842920000002,0.0
3549,10,53,2023-01-01,13,662886.25,9958.63,5.3436,53214.935268,691794.158484,28907.908484000014
5256,19,78,2023-01-01,12,1461139.0,23053.04,5.3436,123186.22454400001,1478234.6945280002,17095.694528000196
666,14,15,2023-01-01,5,132524.05,5325.4,5.3436,28456.80744,142284.0372,9759.987200000003
7765,30,22,2023-01-01,2,74960.7,7630.67,5.3436,40775.248212000006,81550.49642400001,6589.796424000015
8211,14,67,2023-01-01,3,257367.0,16720.73,5.3436,89348.892828,268046.678484,10679.678483999975
3477,18,46,2023-01-02,2,9469.6,959.01,5.3436,5124.565836000001,10249.131672000001,779.531672000001
8092,34,55,2023-01-02,8,879898.0,23326.09,5.3436,124645.29452400001,997162.3561920001,117264.3561920001
1238,42,149,2023-01-02,4,4654.0,217.62,5.3436,1162.8742320000001,4651.4969280000005,0.0
6459,3,91,2023-01-02,8,1079088.0,26303.31,5.3436,140554.36731600002,1124434.9385280001,45346.938528000144
4286,33,18,2023-01-02,7,176706.65,4834.43,5.3436,25833.260148000005,180832.82103600004,4126.171036000043
7082,41,140,2023-01-02,6,17866.65,586.81,5.3436,3135.677916,18814.067496,947.4174959999982
663,39,147,2023-01-02,9,25907.45,592.19,5.3436,3164.4264840000005,28479.838356000004,2572.388356000003
4770,28,124,2023-01-02,4,14326.0,719.16,5.3436,3842.903376,15371.613504,1045.6135040000008
3932,34,125,2023-01-02,9,29088.05,630.46,5.3436,3368.9260560000002,30320.334504000002,1232.284504000003
7777,26,25,2023-01-02,11,126721.45,2389.36,5.3436,12767.784096000001,140445.62505600002,13724.175056000022
4996,24,29,2023-01-02,9,328593.0,7689.63,5.3436,41090.306868,369812.761812,41219.76181200001
5121,27,61,2023-01-02,11,308205.0,5564.33,5.3436,29733.553788,327069.09166800004,18864.091668000037
5239,21,48,2023-01-02,14,206309.0,2836.04,5.3436,15154.663344,212165.286816,5856.286816000007
9643,22,65,2023-01-02,14,357808.0,5008.66,5.3436,26764.275576,374699.85806400003,16891.85806400003
3525,32,133,2023-01-02,6,11356.0,348.47,5.3436,1862.0842920000002,11172.505752000001,0.0
4034,5,86,2023-01-02,8,710775.75,17824.79,5.3436,95248.54784400002,761988.3827520001,51212.63275200012
2602,35,115,2023-01-02,8,6312.75,157.17,5.3436,839.853612,6718.828896,406.078896
7899,41,78,2023-01-02,7,809714.45,23053.04,5.3436,123186.22454400001,862303.5718080001,52589.12180800014
9894,1,26,2023-01-03,15,259248.0,3412.88,5.3759,18347.301592,275209.52388,15961.523879999993
1727,40,72,2023-01-03,14,1395305.0,30675.48,5.3759,164908.312932,2308716.381048,913411.381048
7226,24,26,2023-01-03,1,17283.0,3412.88,5.3759,18347.301592,18347.301592,1064.3015919999998
3291,13,74,2023-01-03,10,865586.0,22250.99,5.3759,119619.097141,1196190.97141,330604.97141
6966,28,74,2023-01-03,15,1298378.0,22250.99,5.3759,119619.097141,1794286.457115,495908.4571150001
8172,46,72,2023-01-03,12,1136177.2,30675.48,5.3759,164908.312932,1978899.755184,842722.5551839999
8378,21,36,2023-01-03,15,339021.0,4221.25,5.3759,22693.017874999998,340395.26812499994,1374.2681249999441
5775,16,39,2023-01-03,8,237063.0,5270.87,5.3759,28335.670033,226685.360264,0.0
1767,11,1,2023-01-03,1,33123.0,6538.2,5.3759,35148.70938,35148.70938,2025.7093800000002
2622,27,116,2023-01-03,11,26914.45,502.24,5.3759,2699.9920159999997,29699.912175999998,2785.4621759999973
8897,37,5,2023-01-03,12,284028.0,4920.79,5.3759,26453.674960999997,317444.09953199996,33416.099531999964
9975,16,8,2023-01-03,15,71023.9,951.1,5.3759,5113.0184899999995,76695.27734999999,5671.377349999995
4010,16,63,2023-01-03,13,1728477.5,27618.14,5.3759,148472.35882599998,1930140.6647379997,201663.16473799967
4071,28,84,2023-01-03,13,564510.0,8041.61,5.3759,43230.891199,562001.585587,0.0
1832,5,56,2023-01-03,1,42989.0,8087.59,5.3759,43478.075080999995,43478.075080999995,489.0750809999954
1384,21,57,2023-01-04,11,1306696.0,22497.79,5.4459,122520.714561,1347727.860171,41031.86017100001
9581,25,2,2023-01-04,15,199473.4,2577.22,5.4459,14035.282398,210529.23596999998,11055.835969999986
6905,17,106,2023-01-04,12,49987.1,837.06,5.4459,4558.545053999999,54702.540647999995,4715.440647999996
306,12,70,2023-01-04,6,206133.0,6655.06,5.4459,36242.791254,217456.747524,11323.747524000006
8343,14,20,2023-01-04,8,234334.6,5689.04,5.4459,30981.942936,247855.543488,13520.94348799999
2017,45,92,2023-01-04,1,88854.0,16745.97,5.4459,91196.87802300001,91196.87802300001,2342.878023000012
472,26,56,2023-01-04,7,285874.95,8087.59,5.4459,44044.206381,308309.44466700003,22434.49466700002
7677,11,61,2023-01-04,13,364242.0,5564.33,5.4459,30302.784746999998,393936.20171099994,29694.201710999943
