id_venda,id_cliente,id_produto,data_venda,quantidade,valor_total,custo_total_brl,prejuizo
1230,17,91,2023-01-01,4,512566.8,562217.4692640001,49650.669264000084
2300,30,95,2023-01-01,9,596858.4,622586.416212,25728.01621199993
3131,28,130,2023-01-01,13,53873.0,52092.458652,0.0
4212,9,96,2023-01-01,6,402538.75,418834.146672,16295.396672000003
4294,7,44,2023-01-01,5,51332.3,52447.968360000006,1115.6683600000033
4997,23,133,2023-01-01,1,1893.0,1862.0842920000002,0.0
3549,10,53,2023-01-01,13,662886.25,691794.158484,28907.908484000014
5256,19,78,2023-01-01,12,1461139.0,1478234.6945280002,17095.694528000196
666,14,15,2023-01-01,5,132524.05,142284.0372,9759.987200000003
7765,30,22,2023-01-01,2,74960.7,81550.49642400001,6589.796424000015
8211,14,67,2023-01-01,3,257367.0,268046.678484,10679.678483999975
3477,18,46,2023-01-02,2,9469.6,10249.131672000001,779.531672000001
8092,34,55,2023-01-02,8,879898.0,997162.3561920001,117264.3561920001
1238,42,149,2023-01-02,4,4654.0,4651.4969280000005,0.0
6459,3,91,2023-01-02,8,1079088.0,1124434.9385280001,45346.938528000144
4286,33,18,2023-01-02,7,176706.65,180832.82103600004,4126.171036000043
7082,41,140,2023-01-02,6,17866.65,18814.067496,947.4174959999982
663,39,147,2023-01-02,9,25907.45,28479.838356000004,2572.388356000003
4770,28,124,2023-01-02,4,14326.0,15371.613504,1045.6135040000008
3932,34,125,2023-01-02,9,29088.05,30320.334504000002,1232.284504000003
7777,26,25,2023-01-02,11,126721.45,140445.62505600002,13724.175056000022
4996,24,29,2023-01-02,9,328593.0,369812.761812,41219.76181200001
5121,27,61,2023-01-02,11,308205.0,327069.09166800004,18864.091668000037
5239,21,48,2023-01-02,14,206309.0,212165.286816,5856.286816000007
9643,22,65,2023-01-02,14,357808.0,374699.85806400003,16891.85806400003
3525,32,133,2023-01-02,6,11356.0,11172.505752000001,0.0
4034,5,86,2023-01-02,8,710775.75,761988.3827520001,51212.63275200012
2602,35,115,2023-01-02,8,6312.75,6718.828896,406.078896
7899,41,78,2023-01-02,7,809714.45,862303.5718080001,52589.12180800014
9894,1,26,2023-01-03,15,259248.0,275209.52388,15961.523879999993
1727,40,72,2023-01-03,14,1395305.0,2308716.381048,913411.381048
7226,24,26,2023-01-03,1,17283.0,18347.301592,1064.3015919999998
3291,13,74,2023-01-03,10,865586.0,1196190.97141,330604.97141
6966,28,74,2023-01-03,15,1298378.0,1794286.457115,495908.4571150001
8172,46,72,2023-01-03,12,1136177.2,1978899.755184,842722.5551839999
8378,21,36,2023-01-03,15,339021.0,340395.26812499994,1374.2681249999441
5775,16,39,2023-01-03,8,237063.0,226685.360264,0.0
1767,11,1,2023-01-03,1,33123.0,35148.70938,2025.7093800000002
2622,27,116,2023-01-03,11,26914.45,29699.912175999998,2785.4621759999973
8897,37,5,2023-01-03,12,284028.0,317444.09953199996,33416.099531999964
9975,16,8,2023-01-03,15,71023.9,76695.27734999999,5671.377349999995
4010,16,63,2023-01-03,13,1728477.5,1930140.6647379997,201663.16473799967
4071,28,84,2023-01-03,13,564510.0,562001.585587,0.0
1832,5,56,2023-01-03,1,42989.0,43478.075080999995,489.0750809999954
1384,21,57,2023-01-04,11,1306696.0,1347727.860171,41031.86017100001
9581,25,2,2023-01-04,15,199473.4,210529.23596999998,11055.835969999986
6905,17,106,2023-01-04,12,49987.1,54702.540647999995,4715.440647999996
306,12,70,2023-01-04,6,206133.0,217456.747524,11323.747524000006
8343,14,20,2023-01-04,8,234334.6,247855.543488,13520.94348799999
2017,45,92,2023-01-04,1,88854.0,91196.87802300001,2342.878023000012
472,26,56,2023-01-04,7,285874.95,308309.44466700003,22434.49466700002
7677,11,61,2023-01-04,13,364242.0,393936.20171099994,29694.201710999943
3342,48,41,2023-01-04,13,137800.0,133545.231144,0.0
6768,1,11,2023-01-04,4,144928.0,146686.40568,1758.4056799999962
9228,47,15,2023-01-04,7,195298.0,203011.17101999998,7713.17101999998
5938,37,81,2023-01-04,11,1276451.35,1398485.281941,122033.93194099981
4874,6,5,2023-01-04,1,23669.0,26798.130261,3129.1302609999984
9151,49,41,2023-01-04,5,53000.0,51363.55044,0.0
631,43,15,2023-01-04,2,55800.0,58003.191719999995,2203.1917199999953
6811,12,13,2023-01-04,11,85218.0,81260.99685,0.0
727,43,19,2023-01-05,3,46832.15,51270.944129999996,4438.794129999995
9792,41,12,2023-01-05,8,21809.0,22819.285776,1010.2857760000006
9786,8,50,2023-01-05,14,149970.8,164857.853804,14887.053804000025
7582,48,89,2023-01-05,6,472068.0,480798.5521919999,8730.552191999916
7309,27,22,2023-01-05,13,487242.65,535930.950646,48688.30064599996
4226,45,49,2023-01-05,7,92850.0,99348.4114,6498.411399999997
1248,26,148,2023-01-05,10,45463.2,48728.750700000004,3265.550700000007
5135,26,98,2023-01-05,4,317445.0,329838.022472,12393.022471999982
6821,33,56,2023-01-05,15,644832.0,655410.20601,10578.206009999965
8334,28,40,2023-01-05,3,42552.0,44692.19810999999,2140.1981099999903
6752,24,86,2023-01-05,15,1332704.65,1444503.15681,111798.50681000017
1098,6,27,2023-01-05,5,78429.15,82422.87599,3993.7259900000063
6014,26,142,2023-01-05,10,8264.0,8649.02234,385.02233999999953
4929,8,73,2023-01-05,11,1496021.05,1628816.0973699999,132795.0473699998
2333,3,18,2023-01-05,6,159435.0,156710.949108,0.0
4478,32,46,2023-01-05,6,29903.0,31086.884555999997,1183.8845559999972
2113,6,121,2023-01-05,11,40637.0,42690.53481,2053.5348099999974
2686,49,108,2023-01-05,7,23419.0,24713.059154000002,1294.0591540000023
6572,24,66,2023-01-05,3,35829.25,38255.108261999994,2425.8582619999943
8521,49,146,2023-01-06,7,3472.0,3663.5914699999994,191.5914699999994
1708,11,19,2023-01-06,4,62442.55,66879.5457,4436.9956999999995
1503,25,32,2023-01-06,8,95019.0,109332.04744,14313.047439999995
8097,34,128,2023-01-06,5,23254.0,22545.035975,0.0
9377,16,18,2023-01-06,9,227194.4,229971.417885,2777.0178850000084
91,23,36,2023-01-06,15,339021.0,334671.253125,0.0
2729,45,105,2023-01-06,10,3095.0,3126.3732499999996,31.373249999999643
4730,13,35,2023-01-07,8,83641.8,92988.01292000001,9346.212920000005
7501,9,142,2023-01-07,2,1570.35,1692.31139,121.96139000000016
9652,6,113,2023-01-07,6,25051.5,25861.9515,810.4514999999992
9555,17,110,2023-01-07,6,14973.0,15096.33939,123.33938999999918
9129,42,32,2023-01-07,10,118773.75,136665.0593,17891.309299999994
5434,10,18,2023-01-07,4,100975.5,102209.51906,1234.019060000006
9162,40,45,2023-01-07,1,9904.0,10047.20695,143.20694999999978
3887,1,85,2023-01-07,6,231472.0,237844.01157000003,6372.0115700000315
6876,27,82,2023-01-07,11,567974.0,568049.545745,75.54574500001036
945,2,80,2023-01-07,12,1473151.7,1533452.93904,60301.23904000013
2016,29,27,2023-01-07,4,62743.7,64509.10466,1765.4046600000001
1402,9,83,2023-01-08,13,1664827.5,2462599.5465499996,797772.0465499996
1728,29,46,2023-01-08,14,66284.35,70963.86297,4679.512969999996
9221,29,80,2023-01-08,2,258448.0,255575.48984,0.0
6740,46,147,2023-01-08,4,11514.0,12520.08098,1006.0809800000006
3542,29,77,2023-01-08,1,42469.75,45546.580585,3076.8305850000033
1169,47,2,2023-01-08,10,139982.0,136218.9631,0.0
4081,2,133,2023-01-08,10,17980.65,18418.38185,437.7318500000001
3114,40,42,2023-01-08,6,35957.0,40071.595409999994,4114.595409999994
3864,43,23,2023-01-08,9,95577.6,100311.70743,4734.107429999989
9616,44,56,2023-01-08,10,408393.6,427469.56944999995,19075.969449999975
2643,11,107,2023-01-08,6,9080.0,9370.55724,290.5572400000001
3256,48,127,2023-01-08,8,12395.0,12396.40028,1.4002799999998388
839,8,20,2023-01-08,8,246668.0,240555.36736,0.0
6207,30,120,2023-01-08,5,15622.0,15508.978374999999,0.0
1839,10,114,2023-01-08,13,9871.45,9941.866934999998,70.41693499999747
7471,39,89,2023-01-08,15,1121162.45,1175943.4104,54780.96039999998
315,12,137,2023-01-08,8,27084.0,26207.20036,0.0
236,33,113,2023-01-08,10,41752.5,43103.2525,1350.7525000000023
1490,27,82,2023-01-09,14,722877.0,724504.130602,1627.1306020000484
5044,39,35,2023-01-09,8,88044.0,93185.05496800001,5141.054968000011
1591,36,106,2023-01-09,7,29159.3,31035.589914,1876.2899140000009
5566,11,17,2023-01-09,15,210582.0,215051.84637,4469.846370000014
3641,15,113,2023-01-09,11,45927.75,47514.04735,1586.2973500000007
174,42,16,2023-01-09,6,180036.0,178475.696388,0.0
8423,37,144,2023-01-09,14,30998.0,31331.463576,333.4635759999983
185,39,27,2023-01-09,7,115580.0,113130.149587,0.0
1108,1,147,2023-01-09,5,15150.0,15683.263865000004,533.2638650000044
